SR. No.,Law
1,"The Protection against Harassment of Women at the Workplace Act, 2010: This act defines sexual harassment and prohibits it at the workplace. It provides for the establishment of internal committees to address complaints of harassment and prescribes penalties for offenders."
2,"The Pakistan Penal Code: The Pakistan Penal Code (PPC) criminalizes various forms of sexual harassment, including ""outraging the modesty of a woman"" (Section 354), ""criminal force to outrage modesty"" (Section 354A), and ""sexual assault"" (Section 375)."
3,"The Anti-Sexual Harassment Act, 2021: This act provides a comprehensive framework for addressing sexual harassment, both at the workplace and in other settings. It defines sexual harassment, establishes mechanisms for reporting and addressing complaints, and prescribes penalties for offenders."
4,The Code of Criminal Procedure: The Code of Criminal Procedure (CrPC) provides for the arrest and prosecution of offenders of sexual harassment under the PPC.
5,"The National Commission on the Status of Women Act, 2012: This act provides for the establishment of the National Commission on the Status of Women (NCSW), which is mandated to monitor and evaluate policies, programs, and legislation related to women's rights, including sexual harassment."
6,"The Punjab Protection of Women against Violence Act, 2016: This act provides for the establishment of special courts to hear cases of violence against women, including sexual harassment, and prescribes penalties for offenders."
7,"According to Protection against Harassment of women at the Workplace (Amendment) Act 2022, any unwelcome sexual advance, request for sexual favours, stalking or cyber stalking or other verbal, visual or written communicationor pgysical abduct od a sexual nature or sexually demeaning attitudes, including any gestures or expression conveying derogatory connotion causing interference with work performance or creating an intiminding , hostile or offensive work environment or the attempt to punish the complainant for refusal to comply to such a request or is made acondition for employment or discrimination on basis of gender, which may or may not be sexual in nature, but which may embody discriminatory and prejudicial mind-set or notion, resulting in discriminatory behavior on basis of gender against the complainant would be in the table of harassment."
8,"The Domestic Violence (Prevention and Protection) Act, 2015: This law defines domestic violence as any act of physical, sexual, psychological, or economic violence committed by a husband or any other relative of the husband against his wife or any other woman. The law provides for protection orders and compensation for victims of domestic violence."
9,"Prevention of Electronic Crimes Act, 2016 Cyber stalking.- (1) A person commits the offence of cyber stalking who, with the intent to coerce or intimidate or harass any person uses information system, information syslem network, the lnternet, website, electronic mail or any other similar means of commuication to-follow a person or contacts or attempts to contact such person to foster personal interaction repeatedly despite a clear indication of disinterest by such person; monitor the use by a person of the Intemet, electronic mail, text message or any other form of electronic communication."
10,"Under the section 336A of Criminal Law ( Second Amendment) Act 2011, whoever with the intention or knowingly causes or attempts to cause hurt by means of a corrosive or acid substance or any other substance which is deleterious to human body when it is swallowed, inhaled, comes into contact or received into human body or otherwise shall be said to cause hurt by corrosive substance. in this the ""corrosive substance"" means a substance which may destroy, cause hut, deface or dismember any organ of the human body and includes every kind of acid, poison, explosive or explosive substance, heating susbtance, noxious thing, "
11,"Under the section 336A of Criminal Law ( Second Amendment) Act 2011, whoever causes hurt by corrosive substance shall be punished with imprisonment for life or imprisonment of either description which shall not be less than fourteen years and a minimum fine of one million rupees."
